# value value
2.163262 0.163326
1.996648 0.091237
2.260477 -0.086761
1.979246 0.101389
1.969851 -0.636214
1.857021 -0.258425
2.024096 0.000065
2.004684 0.029185
2.319079 -0.204580
1.956138 0.214346
1.737865 0.015158
1.951145 -0.040954
2.334962 0.188059
1.942651 0.007217
2.755209 -0.223305
2.219053 -0.060340
2.084695 -0.034077
1.790721 -0.146541
1.851736 0.097338
1.860130 -0.042554
1.972662 0.002896
2.107664 -0.062430
1.920357 -0.047244
2.000098 -0.008671
1.962005 -0.018755
2.147989 0.165284
2.002533 0.008050
1.944512 0.013607
2.050699 0.106255
2.000270 -0.181026
2.186312 0.309099
2.059694 -0.089271
2.492210 -0.070699
2.126742 0.140033
2.079730 0.350685
1.969493 0.023897
1.985100 0.003221
2.171046 0.185063
2.257151 -0.185164
2.054831 -0.011724
1.899155 -0.059942
2.027290 -0.040999
2.079076 0.142806
2.007430 -0.010882
2.221643 0.249436
1.894998 -0.270516
2.001122 -0.019214
2.026810 -0.043589
1.487092 0.013698
1.847698 -0.332302
-0.729490 -0.041492
-0.698304 -0.516025
-0.725653 -0.058160
-0.920440 -0.178477
-0.730671 -0.375780
-0.642302 -0.001815
-0.773494 -0.693557
-1.085412 -0.184093
-0.829369 -0.108236
-0.995917 0.060022
-0.580257 -0.157476
-0.738540 0.481354
-0.655641 -0.136863
-0.625720 -0.041835
-0.642497 -0.008069
-1.296673 0.169788
-0.557743 0.125942
-0.656497 -0.025136
-0.647248 0.008339
-1.072444 -0.301782
-0.481777 -0.333822
-0.653374 -0.037068
-0.686164 -0.002885
-0.706512 -0.116660
-0.606430 0.064253
-0.627487 0.092277
-1.032111 0.058264
-0.775877 0.119759
-0.864450 0.119449
-0.432567 0.004326
-0.656786 -0.001337
-0.425149 -0.150421
-0.558380 0.131853
-0.315244 -0.190745
-0.206883 0.043780
-0.246880 -0.181858
-0.910129 -0.281456
-0.640703 -0.026109
-1.082903 -0.066093
-1.092973 0.307989
-0.664399 0.001590
-0.220644 0.125877
-0.754536 0.129835
-0.903853 0.183754
-0.640898 -0.151140
-0.653710 -0.018052
-0.722848 -0.288588
-0.831657 -0.069120
-0.549460 -0.112700
-0.754547 0.034840
-1.009961 0.128701
-1.031556 0.005246
-0.434843 0.875506
-0.922227 0.140007
-0.981512 0.186581
-1.232437 0.795059
-0.957050 0.422521
-1.028866 0.222319
-1.008376 0.004995
-1.664940 0.031595
-1.039166 0.203786
-1.194634 0.576919
-0.855620 -0.014878
-1.127473 0.369310
-1.009213 0.211866
-1.003914 0.142511
-1.802355 0.109847
-0.966767 0.040458
-0.883787 0.467489
-1.000407 0.202099
-1.160940 0.088157
-0.929167 0.103957
-1.049875 0.439849
-1.028505 0.055229
-0.923505 0.455827
-1.102992 0.115409
-1.060516 0.165446
-0.979377 0.112168
-1.099226 -0.218123
-0.990658 0.209381
-0.683749 -0.157226
-0.993839 0.183479
-1.092435 0.091018
-1.217960 0.368104
-1.106159 0.275074
-1.151105 0.022083
-1.213230 0.515225
-0.300001 0.240926
-1.049315 0.120116
-1.692452 0.236404
-1.121112 0.042501
-0.845810 0.177739
-0.579227 0.240819
-0.969123 0.187558
-1.085219 0.494112
-0.801297 -0.058586
-0.998781 0.203042
-0.980345 0.234752
-0.972624 0.270149
-0.863022 0.027206
-0.907393 -0.209231
-1.110002 -0.203585
-1.022607 -0.267680
-0.994041 -0.209109
-0.927668 -0.066707
-0.957253 -0.562696
-0.880649 -0.229881
-0.948212 -0.143779
-0.814651 -0.152756
-0.990816 -0.200306
-1.041385 -0.188383
-0.681444 -0.235601
-1.154515 -0.344826
-0.823726 -0.601822
-0.947018 -0.237310
-1.123497 -0.110253
-1.002802 -0.761693
-1.022403 -0.251235
-0.798552 -0.163115
-0.999327 -0.056879
-0.914849 -0.164845
-1.090130 -0.230021
-1.299032 0.335999
-0.989075 -0.251377
-0.994113 -0.196975
-1.005710 -0.259934
-1.036781 -0.248945
-1.064382 -0.122099
-0.711679 -0.621678
-0.671076 -0.512750
-1.237513 -0.130131
-0.957392 0.064328
-1.320173 -0.234224
-0.721889 -0.181458
-1.032644 -0.210856
-0.895011 -0.213648
-1.065287 -0.243717
-0.617756 -0.812264
-1.170264 -0.465363
-0.903571 -0.208776
-1.000409 -0.200290
-1.022134 -0.193534
-0.947923 -0.331016
-1.053280 -0.157113
-0.911181 -0.100839
-0.929865 -0.092986
-0.924159 -0.192454
-1.080693 -0.086617
-1.085510 -0.118126
-1.014209 -0.120197
