# value value
1.885114 -0.399139
1.916751 0.339338
2.073003 0.088944
2.004080 -0.034186
1.569355 -0.011835
1.790825 -0.014206
1.930377 0.020983
2.031471 -0.097815
2.000640 0.000756
1.992400 0.522045
2.435917 -0.098282
1.949358 0.016342
1.913661 0.085176
1.916524 -0.051027
2.014277 -0.154969
2.011847 0.005963
2.131754 0.211591
1.813381 -0.453001
2.027015 -0.019118
1.730438 -0.271399
2.045755 -0.131548
1.710337 -0.334575
1.723769 0.371113
2.286644 -0.434924
2.056471 0.128410
1.908684 -0.017621
1.734380 0.468544
1.937207 -0.105017
2.011954 -0.685236
1.807442 -0.395649
2.129038 -0.078226
2.057306 0.014633
1.814295 -0.178182
1.878365 -0.172583
2.025314 -0.130032
1.858076 -0.561832
2.661506 -0.004300
1.985697 0.036207
1.846864 -0.206206
1.958355 -0.001760
2.098476 0.171780
2.055370 -0.053464
1.965690 0.003494
2.189224 -0.142934
2.098268 0.022618
1.692885 0.213455
1.942757 -0.149885
1.766702 -0.055906
2.038569 -0.024660
1.988325 -0.066711
0.622670 0.219254
0.832506 -0.234471
0.768340 -0.078286
0.781539 0.251502
0.634497 -0.041134
0.890573 -0.092882
0.710423 0.075609
0.853571 -0.079931
0.895443 -0.205637
0.766287 -0.015483
0.674191 -0.002911
0.726672 -0.051234
0.414162 -0.023729
0.250974 0.209837
0.742716 -0.050876
0.751694 0.037368
0.814904 -0.126160
0.755148 0.059993
0.748215 0.041467
0.842442 -0.001209
0.733930 0.000778
1.775978 0.508899
0.702225 0.082500
1.012729 0.711706
0.860626 0.081363
0.606008 -0.276655
0.812585 0.047107
0.701569 -0.172010
0.782812 -0.043677
0.852847 -0.022679
0.692586 -0.296316
0.828462 0.050096
0.692332 -0.215734
0.473723 0.388535
1.183105 0.268985
0.692319 0.061881
0.925003 -0.174585
0.672812 -0.064001
0.429942 -0.251867
0.699386 0.025392
0.743491 0.191005
0.749409 -0.002361
0.854930 0.111687
1.179303 -0.451093
0.681368 -0.031138
0.912691 0.178218
0.769301 -0.038337
0.576980 0.247199
0.739554 -0.014807
0.800293 -0.023668
-0.843115 0.945290
-1.074032 1.022592
-1.076147 1.135627
-0.730407 1.560281
-0.848715 0.947014
-0.797264 1.231781
-0.924700 0.902319
-1.068719 1.020572
-1.337137 0.685396
-0.902968 0.860540
-0.983295 1.226130
-1.482295 1.122101
-1.189474 0.564583
-1.005147 0.922951
-0.989814 0.983112
-1.277762 1.142554
-0.873417 0.907012
-0.945237 0.986309
-0.856846 0.806980
-1.227371 0.754837
-0.755634 1.233807
-0.982756 1.087853
-1.039851 0.842799
-1.129497 1.154486
-0.907665 1.270247
-0.966722 0.787645
-1.002071 0.973075
-1.145790 1.379094
-1.223044 1.482565
-0.992266 0.999364
-0.975133 0.963720
-0.961918 1.242312
-1.479817 0.820630
-1.203731 0.707603
-0.770443 1.379056
-0.763380 0.326925
-1.194136 0.982217
-0.999888 1.000273
-1.143076 1.052984
-1.009826 1.035634
-1.077923 1.036579
-0.886528 0.866675
-1.033259 1.145368
-0.839767 0.922194
-0.689274 0.520333
-1.108255 1.104985
-1.068828 1.035460
-1.003290 1.048841
-1.042340 0.998880
-0.738923 1.306514
-1.057093 -1.510941
-1.033944 -1.008338
-0.754156 -1.345150
-1.240679 -0.904633
-0.910623 -0.985239
-1.208645 -0.771994
-0.943644 -0.925903
-1.000238 -0.693296
-0.983569 -1.130687
-0.890597 -0.688342
-0.848237 -0.958283
-0.655061 -1.733822
-0.932678 -0.948232
-1.331396 -0.364051
-0.449690 -0.532390
-1.386105 -0.910151
-0.756754 -1.103854
-0.801168 -1.021212
-1.131994 -1.069592
-0.547165 -0.956633
-0.811015 -0.959539
-1.034008 -1.391783
-0.989657 -1.085013
-1.089612 -0.751662
-0.928622 -1.260501
-1.064312 -0.995131
-0.997176 -0.833453
-1.247645 -0.853928
-1.290712 -0.481760
-0.910222 -0.858388
-1.111473 -0.987305
-0.938478 -1.028192
-0.961548 -1.033145
-0.873260 -0.604316
-0.619997 -1.452862
-0.812339 -1.233400
-1.094581 -0.786312
-1.668826 -0.662319
-1.099759 -1.031767
-1.745252 -0.740015
-1.250969 -0.744171
-1.000574 -0.984605
-1.059708 -0.817553
-0.808775 -0.902479
-0.637229 -1.255947
-0.653088 -0.941457
-0.986790 -0.991446
-0.993653 -1.004460
-0.936355 -0.707634
-0.293260 -1.100387
